General Capability,Element,Sub-Element,Description,Level,Code,Indicator
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 3 (Years 3-4),CCTINQB3_2,condense and combine selected information related to the topic of study 
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 4 (Years 5-6),CCTINQB4,
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 4 (Years 5-6),CCTINQB4_1,"identify and examine relevant information and opinion from a range of sources, including visual information and digital sources "
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 4 (Years 5-6),CCTINQB4_2,compare information and opinion that can be verified against claims based on personal preference 
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 5 (Years 7-8),CCTINQB5,
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 5 (Years 7-8),CCTINQB5_1,"identify and clarify significant information and opinion from a range of sources, including visual information and digital sources "
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 5 (Years 7-8),CCTINQB5_2,"evaluate the accuracy, validity and relevance of the information and opinion to the topic of study "
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 6 (Years 9-10),CCTINQB6,
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 6 (Years 9-10),CCTINQB6_1,"identify and clarify significant information and opinion from a range of sources, including visual information and digital sources "
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 6 (Years 9-10),CCTINQB6_2,evaluate the information selected to determine bias and reliability  
Critical and Creative Thinking,Generating,,"<p>The Generating element includes 3 sub-elements:</p>
<p>These sub-elements are:</p>
<ul>
<li>Create possibilities</li>
<li>Consider alternatives</li>
<li>Put ideas into action</li>
</ul>",,CCTGEN,
Critical and Creative Thinking,Generating,Create possibilities,"<p>This sub-element supports students to explore and combine ideas to create innovative solutions, and adapt and present ideas in new ways, as they engage with learning area content.</p>",,CCTGENA,
Critical and Creative Thinking,Generating,Create possibilities,,Level 1 (Foundation),CCTGENA1,
Critical and Creative Thinking,Generating,Create possibilities,,Level 1 (Foundation),CCTGENA1_1,use imagination to create possibilities by exploring and connecting ideas in ways that are new to them 
Critical and Creative Thinking,Generating,Create possibilities,,Level 2 (Years 1-2),CCTGENA2,
Critical and Creative Thinking,Generating,Create possibilities,,Level 2 (Years 1-2),CCTGENA2_1,create possibilities by connecting or creatively expanding on ideas in ways that are new to them  
Critical and Creative Thinking,Generating,Create possibilities,,Level 3 (Years 3-4),CCTGENA3,
Critical and Creative Thinking,Generating,Create possibilities,,Level 3 (Years 3-4),CCTGENA3_1,create possibilities by connecting or creatively expanding on new and known ideas in a variety of ways 
Critical and Creative Thinking,Generating,Create possibilities,,Level 4 (Years 5-6),CCTGENA4,
Critical and Creative Thinking,Generating,Create possibilities,,Level 4 (Years 5-6),CCTGENA4_1,"create possibilities by changing, combining, or elaborating on new and known ideas in a variety of creative ways"
Critical and Creative Thinking,Generating,Create possibilities,,Level 5 (Years 7-8),CCTGENA5,
Critical and Creative Thinking,Generating,Create possibilities,,Level 5 (Years 7-8),CCTGENA5_1,"create possibilities by adapting, combining or elaborating on new and known ideas, and proposing a range of different or creative combinations"
Critical and Creative Thinking,Generating,Create possibilities,,Level 6 (Years 9-10),CCTGENA6,
Critical and Creative Thinking,Generating,Create possibilities,,Level 6 (Years 9-10),CCTGENA6_1,create possibilities by connecting or adapting complex ideas and proposing innovative and detailed variations or combinations 
Critical and Creative Thinking,Generating,Consider alternatives,<p>This sub-element supports students to examine different and creative ways to approach tasks and make recommendations on preferred options and actions.</p>,,CCTGENB,
Critical and Creative Thinking,Generating,Consider alternatives,,Level 1 (Foundation),CCTGENB1,
Critical and Creative Thinking,Generating,Consider alternatives,,Level 1 (Foundation),CCTGENB1_1,consider alternatives by suggesting a different way to approach a given task or problem
Critical and Creative Thinking,Generating,Consider alternatives,,Level 2 (Years 1-2),CCTGENB2,
Critical and Creative Thinking,Generating,Consider alternatives,,Level 2 (Years 1-2),CCTGENB2_1,consider alternatives and explore different or creative ways to approach a task or problem
Critical and Creative Thinking,Generating,Consider alternatives,,Level 3 (Years 3-4),CCTGENB3,
Critical and Creative Thinking,Generating,Consider alternatives,,Level 3 (Years 3-4),CCTGENB3_1,"consider alternatives by comparing different or creative ways to approach a task, issue or problem and recommend a preferred option "
Critical and Creative Thinking,Generating,Consider alternatives,,Level 4 (Years 5-6),CCTGENB4,
Critical and Creative Thinking,Generating,Consider alternatives,,Level 4 (Years 5-6),CCTGENB4_1,consider alternatives by challenging or creatively adjusting existing ideas in situations where current approaches do not work and recommend a preferred option 
Critical and Creative Thinking,Generating,Consider alternatives,,Level 5 (Years 7-8),CCTGENB5,
Critical and Creative Thinking,Generating,Consider alternatives,,Level 5 (Years 7-8),CCTGENB5_1,consider alternatives by creatively adapting ideas when information is limited or conflicting and recommend a preferred option  
Critical and Creative Thinking,Generating,Consider alternatives,,Level 6 (Years 9-10),CCTGENB6,
Critical and Creative Thinking,Generating,Consider alternatives,,Level 6 (Years 9-10),CCTGENB6_1,consider alternatives by creatively revising and modifying ideas and recommendations when circumstances change  
Critical and Creative Thinking,Generating,Put ideas into action,"<p>This sub-element supports students to experiment with ideas, modify and adapt approaches, and evaluate options and actions in a range of situations.</p>",,CCTGENC,
Critical and Creative Thinking,Generating,Put ideas into action,,Level 1 (Foundation),CCTGENC1,
Critical and Creative Thinking,Generating,Put ideas into action,,Level 1 (Foundation),CCTGENC1_1,put ideas into action through trial-and-error experiences
Critical and Creative Thinking,Generating,Put ideas into action,,Level 2 (Years 1-2),CCTGENC2,
Critical and Creative Thinking,Generating,Put ideas into action,,Level 2 (Years 1-2),CCTGENC2_1,put ideas into action by experimenting with options and predicting possible results
Critical and Creative Thinking,Generating,Put ideas into action,,Level 3 (Years 3-4),CCTGENC3,
Critical and Creative Thinking,Generating,Put ideas into action,,Level 3 (Years 3-4),CCTGENC3_1,"put ideas into action by predicting an outcome, trialling options and assessing their effectiveness  "
Critical and Creative Thinking,Generating,Put ideas into action,,Level 4 (Years 5-6),CCTGENC4,
Critical and Creative Thinking,Generating,Put ideas into action,,Level 4 (Years 5-6),CCTGENC4_1,put ideas into action by predicting potential or future outcomes and systematically testing a range of options  
Critical and Creative Thinking,Generating,Put ideas into action,,Level 5 (Years 7-8),CCTGENC5,
Critical and Creative Thinking,Generating,Put ideas into action,,Level 5 (Years 7-8),CCTGENC5_1,"put ideas into action by making predictions, testing and evaluating options, and reconsidering approaches in complex or unfamiliar situations "
Critical and Creative Thinking,Generating,Put ideas into action,,Level 6 (Years 9-10),CCTGENC6,
Critical and Creative Thinking,Generating,Put ideas into action,,Level 6 (Years 9-10),CCTGENC6_1,"put ideas into action by making predictions, testing and evaluating options, proposing modifications and adapting approaches in complex or unfamiliar situations "
Critical and Creative Thinking,Analysing,,"<p>The Analysing element includes 3 sub-elements:</p>
<p>These sub-elements are:</p>
<ul>
<li>Interpret concepts and problems</li>
<li>Draw conclusions and provide reasons</li>
<li>Evaluate actions and outcomes.</li>
</ul>",,CCTANA,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,"<p>This sub-element supports students to interpret concepts, ideas, theories and problems, and deconstruct them into their component parts, to gain a deeper understanding of the context or situation.</p>",,CCTANAA,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 1 (Foundation),CCTANAA1,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 1 (Foundation),CCTANAA1_1,identify the main parts of a concept or problem
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 2 (Years 1-2),CCTANAA2,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 2 (Years 1-2),CCTANAA2_1,identify the main parts of a concept or problem and describe how these relate to each other
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 3 (Years 3-4),CCTANAA3,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 3 (Years 3-4),CCTANAA3_1,identify and prioritise significant elements and relationships within a concept or problem
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 4 (Years 5-6),CCTANAA4,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 4 (Years 5-6),CCTANAA4_1,"identify the relevant and significant aspects of a concept or problem, understanding that approaches may change depending on the subject or learning area"
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 5 (Years 7-8),CCTANAA5,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 5 (Years 7-8),CCTANAA5_1,"identify the relevant aspects of a concept or problem, recognising gaps or missing elements necessary for understanding by using approaches and strategies suitable for the context"
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 6 (Years 9-10),CCTANAA6,
Critical and Creative Thinking,Analysing,Interpret concepts and problems,,Level 6 (Years 9-10),CCTANAA6_1,"identify the objective and subjective aspects of a complex concept or problem, with sensitivity to context"
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,<p>This sub-element supports students to reach a conclusion or make a choice for action by connecting to learning area knowledge and understanding. The act of justifying a conclusion also requires the provision of a reason or the development of an argument in support of the conclusion or action.</p>,,CCTANAB,
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 1 (Foundation),CCTANAB1,
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 1 (Foundation),CCTANAB1_1,draw conclusions and make choices when completing tasks and identify the reasons for choices made
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 2 (Years 1-2),CCTANAB2,
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 2 (Years 1-2),CCTANAB2_1,draw conclusions and make choices when completing tasks and explain the reasons for choices made
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 3 (Years 3-4),CCTANAB3,
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 3 (Years 3-4),CCTANAB3_1,"draw conclusions and make choices when completing tasks, using observation and prior knowledge to provide reasons and construct arguments for choices made"
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 4 (Years 5-6),CCTANAB4,
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 4 (Years 5-6),CCTANAB4_1,"draw conclusions and make choices when completing tasks, using discipline knowledge to provide reasons and evaluate arguments for choices made"
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 5 (Years 7-8),CCTANAB5,
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 5 (Years 7-8),CCTANAB5_1,draw conclusions and make choices when completing tasks by connecting evidence from within and across discipline areas to provide reasons and evaluate arguments for choices made  
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 6 (Years 9-10),CCTANAB6,
Critical and Creative Thinking,Analysing,Draw conclusions and provide reasons,,Level 6 (Years 9-10),CCTANAB6_1,"draw conclusions and make choices when completing tasks, using analysis of complex evidence and arguments before making recommendations"
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,<p>This sub-element supports students to consider the choices made when they solve problems or attempt learning area tasks and evaluate solutions and outcomes to help plan for future action.</p>,,CCTANAC,
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 1 (Foundation),CCTANAC1,
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 1 (Foundation),CCTANAC1_1,evaluate whether they are satisfied with the outcome of tasks or actions
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 2 (Years 1-2),CCTANAC2,
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 2 (Years 1-2),CCTANAC2_1,"evaluate whether they have accomplished what they set out to achieve, including using a given set of criteria to support decisions"
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 3 (Years 3-4),CCTANAC3,
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 3 (Years 3-4),CCTANAC3_1,"evaluate the outcome of a task by explaining ideas, conclusions and actions, including using a given set of criteria to support decisions"
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 4 (Years 5-6),CCTANAC4,
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 4 (Years 5-6),CCTANAC4_1,"evaluate the effectiveness of a course of action or the outcome of a task, including using a given or co-developed set of criteria to support decisions"
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 5 (Years 7-8),CCTANAC5,
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 5 (Years 7-8),CCTANAC5_1,"evaluate the effectiveness of a course of action or the outcome of a task and account for expected and unexpected results, including using a given or co-developed set of criteria to support decisions"
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 6 (Years 9-10),CCTANAC6,
Critical and Creative Thinking,Analysing,Evaluate actions and outcomes,,Level 6 (Years 9-10),CCTANAC6_1,"evaluate the effectiveness of a course of action to achieve desired outcomes and suggest improvements, including using a personally developed set of criteria to support judgements and decisions"
Critical and Creative Thinking,Reflecting,,"<p>The Reflecting element includes 2 sub-elements:</p>
<p>These sub-elements are:</p>
<ul>
<li>Think about thinking (metacognition)</li>
<li>Transfer knowledge</li>
</ul>",,CCTREF,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),"<p>This sub-element supports students to identify, describe and evaluate the thinking and learning strategies that they use to complete activities. They reflect on the ways that their thinking, and the approaches they take, may be influenced by external contributions or viewpoints.</p>",,CCTREFA,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 1 (Foundation),CCTREFA1,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 1 (Foundation),CCTREFA1_1,identify thinking and learning strategies used when completing activities and drawing conclusions 
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 2 (Years 1-2),CCTREFA2,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 2 (Years 1-2),CCTREFA2_1,identify and describe thinking and learning strategies they have used when completing activities and drawing conclusions 
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 3 (Years 3-4),CCTREFA3,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 3 (Years 3-4),CCTREFA3_1,"select, describe and reflect on the thinking and learning strategies and processes used when completing activities and drawing conclusions"
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 4 (Years 5-6),CCTREFA4,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 4 (Years 5-6),CCTREFA4_1,identify and reflect on thinking and assumptions when completing activities or drawing conclusions 
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 4 (Years 5-6),CCTREFA4_2,invite alternative perspectives or feedback in order to improve future outcomes 
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 5 (Years 7-8),CCTREFA5,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 5 (Years 7-8),CCTREFA5_1,reflect on the thinking and processes used when completing activities or drawing conclusions 
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 5 (Years 7-8),CCTREFA5_2,"invite alternative perspectives and feedback, and consider reasonable criticism to adjust thinking and approaches"
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 6 (Years 9-10),CCTREFA6,
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 6 (Years 9-10),CCTREFA6_1,reflect on the thinking and processes used when completing activities and drawing conclusions
Critical and Creative Thinking,Reflecting,Think about thinking (metacognition),,Level 6 (Years 9-10),CCTREFA6_2,"identify possible limitations in their own positions by considering opposing viewpoints, reasonable criticism and feedback "
Critical and Creative Thinking,Reflecting,Transfer knowledge,"<p>This sub-element supports students to make connections between their current knowledge and skills and new contexts where they can adapt and use what they already know and can do. Both critical and creative thinking are involved, and new contexts can include other learning areas of the curriculum.</p>",,CCTREFB,
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 1 (Foundation),CCTREFB1,
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 1 (Foundation),CCTREFB1_1,connect ideas and information between familiar learning experiences
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 2 (Years 1-2),CCTREFB2,
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 2 (Years 1-2),CCTREFB2_1,use ideas and information from a previous experience to inform similar learning experiences
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 3 (Years 3-4),CCTREFB3,
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 3 (Years 3-4),CCTREFB3_1,use aspects of knowledge and skills gained in one setting to inform learning in a new setting or context  
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 4 (Years 5-6),CCTREFB4,
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 4 (Years 5-6),CCTREFB4_1,apply aspects of knowledge and skills gained in one context to a new or unrelated context to achieve a specific purpose
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 5 (Years 7-8),CCTREFB5,
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 5 (Years 7-8),CCTREFB5_1,"transfer knowledge and skills gained in previous experiences to both similar and different contexts, and explain reasons for decisions and choices made"
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 6 (Years 9-10),CCTREFB6,
Critical and Creative Thinking,Reflecting,Transfer knowledge,,Level 6 (Years 9-10),CCTREFB6_1,"identify, plan and justify opportunities to transfer knowledge into new contexts  "
Digital Literacy,,,,,DL,
Digital Literacy,Practising digital safety and wellbeing,,"<p>The Practising digital safety and wellbeing element includes 3 sub elements:</p>
<p>These sub-elements are:</p>
<ul>
<li>Manage online safety</li>
<li>Manage digital privacy and identity</li>
<li>Manage digital wellbeing.</li>
</ul>",,DLDSW,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,"<p>This sub-element supports students to develop the appropriate technical, social, cognitive, communicative and decision-making skills to address online risks. They recognise the content risks that they face online, such as hurtful user-generated content, and the strategies involved in dealing with them.</p>",,DLDSWA,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 1 (Foundation),DLDSWA1,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 1 (Foundation),DLDSWA1_1,"use online tools that are safe or only under direct supervision, seeking help from trusted adults when feeling unsafe"
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 2 (Years 1-2),DLDSWA2,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 2 (Years 1-2),DLDSWA2_1,"use online tools that are age appropriate or only under supervision, seeking help from trusted adults when feeling unsafe"
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 3 (Years 3-4),DLDSWA3,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 3 (Years 3-4),DLDSWA3_1,report negative or harmful online behaviour by seeking help from trusted adults
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 4 (Years 5-6),DLDSWA4,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 4 (Years 5-6),DLDSWA4_1,report negative or harmful online behaviour to trusted adults and know how to report it in online tools
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 4 (Years 5-6),DLDSWA4_2,recognise when to step away from negative online social interactions
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 5 (Years 7-8),DLDSWA5,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 5 (Years 7-8),DLDSWA5_1,"identify online abuse and bullying and report them to trusted adults, appropriate authorities and in online tools"
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 5 (Years 7-8),DLDSWA5_2,stop engaging in negative online social interactions
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 6 (Years 9-10),DLDSWA6,
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 6 (Years 9-10),DLDSWA6_1,"engage in safe, legal and ethical online behaviour and defuse negative online social interactions"
Digital Literacy,Practising digital safety and wellbeing,Manage online safety,,Level 6 (Years 9-10),DLDSWA6_2,recognise the benefits and risks of anonymity online
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,"<p>This sub-element supports students to recognise the importance of controlling and shaping their own digital identity. They create and curate their online identities to positively tell their stories, while recognising how personal use of digital media may have implications on their digital footprint.</p>",,DLDSWB,
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 1 (Foundation),DLDSWB1,
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 1 (Foundation),DLDSWB1_1,"recognise their personal data and that data (including text, images, and video) can be seen by others when shared online"
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 2 (Years 1-2),DLDSWB2,
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 2 (Years 1-2),DLDSWB2_1,"recognise that online tools (website and apps) store their personal data, which may give an impression of them"
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 3 (Years 3-4),DLDSWB3,
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 3 (Years 3-4),DLDSWB3_1,identify their digital footprint (personal data stored by online tools)
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 3 (Years 3-4),DLDSWB3_2,recognise their digital identity represents them online and can give a negative impression
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 3 (Years 3-4),DLDSWB3_3,give and seek consent before sharing online with peers and trusted adults
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 4 (Years 5-6),DLDSWB4,
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 4 (Years 5-6),DLDSWB4_1,"recognise the permanence of their digital footprint and digital identity, and the associated risks, including to their reputation"
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 4 (Years 5-6),DLDSWB4_2,give and seek consent before sharing online in trusted groups
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 5 (Years 7-8),DLDSWB5,
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 5 (Years 7-8),DLDSWB5_1,"recognise their digital footprint is valuable, used by online tools for targeting, and that data shared online is no longer under their control"
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 5 (Years 7-8),DLDSWB5_2,"consider who they trust with their data and review privacy policies before giving consent, and seek consent before sharing online"
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 6 (Years 9-10),DLDSWB6,
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 6 (Years 9-10),DLDSWB6_1,recognise their actions contribute to their passive digital footprint
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 6 (Years 9-10),DLDSWB6_2,"manage their digital identity by controlling privacy, connections and group settings, and curating posts"
Digital Literacy,Practising digital safety and wellbeing,Manage digital privacy and identity,,Level 6 (Years 9-10),DLDSWB6_3,consent selectively to data collection after assessing the benefits and risks of an online tool privacy policy
Digital Literacy,Practising digital safety and wellbeing,Manage digital wellbeing,"<p>This sub-element supports students to consider the nature and impact of digital tool use. They develop understanding that behaviours such as excessive screen time, digital workload, distraction and multitasking can have an impact on their health, work productivity, wellbeing and lifestyles. They understand the benefits and risks of digital participation in relation to health and wellbeing outcomes.</p>",,DLDSWC,
Digital Literacy,Practising digital safety and wellbeing,Manage digital wellbeing,,Level 1 (Foundation),DLDSWC1,
Digital Literacy,Practising digital safety and wellbeing,Manage digital wellbeing,,Level 1 (Foundation),DLDSWC1_1,follow adult directions for the use of digital tools at school and home
Digital Literacy,Practising digital safety and wellbeing,Manage digital wellbeing,,Level 2 (Years 1-2),DLDSWC2,
Digital Literacy,Practising digital safety and wellbeing,Manage digital wellbeing,,Level 2 (Years 1-2),DLDSWC2_1,follow agreed rules for the healthy use of digital tools and apply them at school and home
